"meta_id","post_id","meta_key","meta_value"
"8","5","_wp_attached_file","2017/08/log_file_2017-08-10__09-18-56.txt"
"34","362","_wp_attached_file","2017/02/bg-trans.png"
"35","362","_wp_attachment_metadata","a:6:{s:5:""width"";i:1934;s:6:""height"";i:941;s:4:""file"";s:20:""2017/02/bg-trans.png"";s:5:""sizes"";a:3:{s:21:""woocommerce_thumbnail"";a:5:{s:4:""file"";s:20:""bg-trans-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:20:""bg-trans-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}s:18:""woocommerce_single"";a:5:{s:4:""file"";s:20:""bg-trans-600x292.png"";s:5:""width"";i:600;s:6:""height"";i:292;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:8:""filesize"";i:42714;}"
"37","365","_wp_attached_file","2017/02/bg-trans-light.png"
"38","365","_wp_attachment_metadata","a:6:{s:5:""width"";i:1934;s:6:""height"";i:941;s:4:""file"";s:26:""2017/02/bg-trans-light.png"";s:5:""sizes"";a:3:{s:21:""woocommerce_thumbnail"";a:5:{s:4:""file"";s:26:""bg-trans-light-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:26:""bg-trans-light-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}s:18:""woocommerce_single"";a:5:{s:4:""file"";s:26:""bg-trans-light-600x292.png"";s:5:""width"";i:600;s:6:""height"";i:292;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:0;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:8:""filesize"";i:31337;}"
"358","17","_menu_item_type","custom"
"359","17","_menu_item_menu_item_parent","0"
"360","17","_menu_item_object_id","17"
"361","17","_menu_item_object","custom"
"362","17","_menu_item_target",
"363","17","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"364","17","_menu_item_xfn",
"365","17","_menu_item_url","https://www.vistaneotech.com/"
"421","415","_menu_item_type","post_type"
"422","415","_menu_item_menu_item_parent","0"
"423","415","_menu_item_object_id","367"
"424","415","_menu_item_object","page"
"425","415","_menu_item_target",
"426","415","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"427","415","_menu_item_xfn",
"428","415","_menu_item_url",
"443","1372","_menu_item_type","post_type"
"444","1372","_menu_item_menu_item_parent","0"
"445","1372","_menu_item_object_id","1370"
"446","1372","_menu_item_object","page"
"447","1372","_menu_item_target",
"448","1372","_menu_item_classes","a:1:{i:0;s:0:"""";}"
"449","1372","_menu_item_xfn",
"450","1372","_menu_item_url",
